"","pwage","swage","single","married","penalty"
"1",0,0,0,0,0
"2",0,10000,156.69,0,-1
"3",0,20000,2397.46,1437.71,-0.400319504809256
"4",0,30000,4882.14,2842.23,-0.417831115043813
"5",0,40000,7531.03,4947.23,-0.343087200555568
"6",0,50000,10589.75,7199.27,-0.320166198446611
"7",0,60000,15343.5,9764.27,-0.363621729070942
"8",0,70000,19783.44,12329.27,-0.37678836440983
"9",0,80000,24234.44,15062.05,-0.378485741779055
"10",0,90000,28685.44,17867.05,-0.377138715668994
"11",0,1e+05,33277.94,21179.5,-0.363557359620217
"12",0,110000,37948.94,26392,-0.304539204520601
"13",0,120000,42619.94,30687,-0.279984908472419
"14",0,130000,47290.94,35115.87,-0.257450369986302
"15",0,140000,51961.94,39566.87,-0.238541324669556
"16",0,150000,56632.94,44017.87,-0.222751458779996
"17",0,160000,60907.14,48072.07,-0.210731779558193
"18",0,170000,65358.14,51903.07,-0.205866782622639
"19",0,180000,70745.14,55734.07,-0.212185176253803
"20",0,190000,76132.14,59628.07,-0.216781900521908
"21",0,2e+05,81475.68,63679.07,-0.218428493017794
"22",0,210000,86635.18,67806.07,-0.217337922077382
"23",0,220000,92088.68,72313.07,-0.214745286825699
"24",0,230000,97548.8,76820.07,-0.21249600200105
"25",0,240000,103002.3,81327.07,-0.210434427192403
"26",0,250000,108439.24,85770.74,-0.209043331546772
"27",0,260000,113866.24,89987.74,-0.209706582038715
"28",0,270000,119293.24,94204.74,-0.21030948610332
"29",0,280000,124720.24,98421.74,-0.210859921372826
"30",0,290000,130147.24,102638.74,-0.211364451524289
"31",0,3e+05,135670.8,106855.74,-0.212389548819643
"32",0,310000,141217.8,111072.74,-0.213465016449768
"33",0,320000,146764.8,115289.74,-0.214459189124368
"34",0,330000,152311.8,119506.74,-0.215380948816835
"35",0,340000,157858.8,124219.74,-0.21309588062243
"36",0,350000,163412.29,129316.74,-0.208647403448052
"37",0,360000,169079.29,134413.74,-0.205025405536065
"38",0,370000,174746.29,139510.74,-0.201638329488998
"39",0,380000,180413.29,144607.74,-0.198464037765732
"40",0,390000,186080.29,149704.74,-0.195483089584609
"41",0,4e+05,191747.29,154867.99,-0.192332835577494
"42",0,410000,197414.29,160017.99,-0.189430562498794
"43",0,420000,203081.29,165239.99,-0.186335727924517
"44",0,430000,209240.79,170733.24,-0.184034623459413
"45",0,440000,215507.79,176206.61,-0.182365472728387
"46",0,450000,221774.79,181633.61,-0.1809997430276
"47",0,460000,228041.79,187060.61,-0.179709078761397
"48",0,470000,233766.29,192487.61,-0.176580977522465
"49",0,480000,239483.29,197914.61,-0.173576536383812
"50",0,490000,245200.29,203664.11,-0.169396944840481
"51",0,5e+05,250917.29,209691.11,-0.16430187015012
"52",0,510000,256779.29,215718.11,-0.159908456791823
"53",0,520000,262716.29,221745.11,-0.15595218705319
"54",0,530000,268653.29,227699.61,-0.152440641988788
