"","pwage","swage","single","married","penalty"
"1",0,0,0,0,0
"2",0,10000,0,0,0
"3",0,20000,2084.08,1098.32,-0.472995278492188
"4",0,30000,4256.06,2498.93,-0.412853672175674
"5",0,40000,6647.14,4387.23,-0.339982308180661
"6",0,50000,9136.03,6387.23,-0.300874668756561
"7",0,60000,12163.5,8564.27,-0.295904139433551
"8",0,70000,15928.5,10929.27,-0.313854411903192
"9",0,80000,19786.44,13294.27,-0.328112080798769
"10",0,90000,23681.44,15707.05,-0.336735857278949
"11",0,1e+05,27576.44,18272.05,-0.337403595242896
"12",0,110000,31612.94,20837.05,-0.340869593274147
"13",0,120000,35707.94,24327,-0.318722950693879
"14",0,130000,39802.94,28092,-0.294222989558058
"15",0,140000,43897.94,31857,-0.274293964591505
"16",0,150000,47992.94,35677.87,-0.256601700166733
"17",0,160000,51691.14,39176.07,-0.242112478076514
"18",0,170000,55166.14,42451.07,-0.23048685298627
"19",0,180000,58641.14,45726.07,-0.220239067657962
"20",0,190000,62604.14,49001.07,-0.217287067596488
"21",0,2e+05,66879.14,52276.07,-0.21835014624889
"22",0,210000,71244.14,55634.07,-0.219106722321302
"23",0,220000,75609.14,59109.07,-0.218228510468443
"24",0,230000,79980.14,62584.07,-0.217504870584122
"25",0,240000,84665.01,66059.07,-0.219759496868895
"26",0,250000,89349.89,69534.07,-0.221777777230615
"27",0,260000,94041.39,73099.07,-0.222692582489476
"28",0,270000,98726.26,76664.07,-0.223468305190534
"29",0,280000,103417.76,80229.07,-0.224223479603503
"30",0,290000,108109.26,83794.07,-0.224913111050802
"31",0,3e+05,112777.57,87359.07,-0.225386129529125
"32",0,310000,117442.57,90924.07,-0.22579972492087
"33",0,320000,122107.57,94489.07,-0.226181718299693
"34",0,330000,126772.57,98054.07,-0.226535598355386
"35",0,340000,131437.57,101619.07,-0.226864358493542
"36",0,350000,136102.57,105184.07,-0.227170581716422
"37",0,360000,140864.13,108749.07,-0.227986074240476
"38",0,370000,145629.13,112490.07,-0.227557906855586
"39",0,380000,150394.13,116855.07,-0.223007772976246
"40",0,390000,155159.13,121220.07,-0.218737112021703
"41",0,4e+05,159924.13,125585.07,-0.214720942987153
"42",0,410000,164689.13,129950.07,-0.210937175999412
"43",0,420000,169460.62,134315.07,-0.207396562103927
"44",0,430000,174325.62,138680.07,-0.204476829051289
"45",0,440000,179190.62,143045.07,-0.201715636677857
"46",0,450000,184055.62,147410.07,-0.199100413233782
"47",0,460000,188920.62,151787.07,-0.196556363196352
"48",0,470000,193785.62,156465.32,-0.192585497313991
"49",0,480000,198650.62,161183.32,-0.188609026239133
"50",0,490000,203515.62,165888.07,-0.184887774216053
"51",0,5e+05,208380.62,170606.07,-0.18127669454098
"52",0,510000,213245.62,175310.82,-0.177892516620036
"53",0,520000,218110.62,180028.82,-0.174598559208167
"54",0,530000,222975.62,184726.94,-0.171537498135446
"55",0,540000,227840.62,189391.94,-0.168752525339863
"56",0,550000,232705.62,194056.94,-0.166083999174579
"57",0,560000,237695.62,198721.94,-0.163964653618775
"58",0,570000,242760.62,203386.94,-0.16219138013406
"59",0,580000,247825.62,208051.94,-0.160490590117357
